# ID | Name(s)                                , tag  ,   RA(J2000),  Dec(J2000), katpoint flux polynomial, katsemodel flux polynomial, linpol(frac), pol angle(deg), mean width(arcmin), shape   , Key for model       , Comments
# 
# Targets with flux models, specifically as used for DVS "single dish" tests i.e. may be resolved on long baselines.

# Taurus A: Polarisation from Vinyaikin 2007, linpol agrees with Baars 1973 at <10GHz and angle agrees with Baars 1973 at >=3GHz;Width is Perley & Butler 2017's LAS/3 to be half power width for a Gaussian
# The best data for temporal scaling [Macias-Perez et al 2010] is -0.18% at ~1 GHz (WMAP 7yr suggests 0.22% at >30 GHz)
J1311-2216 | 3C283,radec gaincal,13:11:39.33,-22:16:41.74,(60.  43000. -3.3516 6.4132 -2.4230 0.2522),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J1318-4620 | 1315-460,radec gaincal,13:18:30.064,-46:20:34.90,(145. 20000. 8.1689 -6.5930 2.0835 -0.2452),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J1330+2509 | 3C287,radec gaincal,13:30:37.69,+25:09:10.9,(80 14900 1.0388 0.5265 -0.2145 0.0089),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J1347+1217 | 1345+125,radec gaincal,13:47:33.36,+12:17:24.238,(333. 99000. 1.4389 -0.2156 0.0345 -0.0130),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J1424-4913 | 1421-490,radec gaincal,14:24:32.08,-49:13:50.7,(145. 99000. 6.0550 -4.1963 1.1975 -0.1218),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J1501-3918 | 1458-391,radec gaincal,15:01:35,-39:18:39,(408. 20000. 5.7026 -3.9782 1.1342 -0.1271),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J1609+2641 | CTD93,radec bpcal,16:09:13.32,+26:41:29.0,(318. 10695. -20.1510 17.1277 -4.4962 0.3670),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J1619-8418 | 1607-841,radec gaincal,16:19:33.97,-84:18:19.10,(145. 20000. 2.0880 -0.3067 -0.0602 -0.0109),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J1726-5529 | 1722-554,radec gaincal,17:26:49.7,-55:29:38.0,(408. 20000. -22.9922 19.0166 -4.8335 0.3765),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J1733-1304 | NRAO530,radec gaincal,17:33:02.66,-13:04:49.1,(408. 99000. -0.1038 1.0514 -0.3499 0.0322),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J1744-5144 | 1740-517,radec bpcal,17:44:25.47,-51:44:43.1,(145. 99000. -3.6941 2.7447 -0.3655 -0.015),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J1830-3602 | 1827-360,radec gaincal,18:30:58.97,-36:02:31.7,(333. 22000. 0.4218 1.4761 -0.4243 0.0002),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J1859-6615 | 1854-663,radec gaincal,18:59:57.80,-66:15:02.8,(145. 20000. -5.3678 5.9491 -1.7969 0.1492),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J2131-2036 | 2128-208,radec gaincal,21:31:01.52,-20:36:56.1,(74.  20000. 2.9655 -1.1589 0.2196 -0.0380),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J2152-2828 | 2149-287,radec gaincal,21:52:03.78,-28:28:29.0,(74.  20000. -1.3470 2.4134 -0.7681 0.0596),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J2206-1835 | 2203-188,radec gaincal,22:06:10.33,-18:35:39.0,(145. 99000. 2.1847 -0.7118 0.1563 -0.0215),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J2212+0152 | 2210+016,radec gaincal,22:12:37.9770,+01:52:51.151,(145. 11200. 1.3836 -0.7264 0.3491 -0.0681),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J2341-3506 | 2339-353,radec gaincal,23:41:45.8910,-35:06:22.130,(80.  20000. -1.6575 3.4649 -1.2586 0.1128),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
