# T0015-002 (E3301-SN05 with B1 RFCU) wideband noise power spectra and gain.
# Digitiser datasets=M0_L5_V_Pol_sw_spec_dump_?.csv, digitiser spectrometer output, average of 3
# REF datasets=WBG8GHz_DIG_QTP_Vpol_ND_OFF.csv, spectrum analyser output from same input, with ~413MHz corrected manually.
# Input signal is NoiseWave model NW6G-MI with 13dB attenuation, fed through a 3dB divider to H & V inputs.
# 
# Frequency [Hz],Channel power [dBX],Gain [dB]
77780166.09672691,-52.55129984,10.78969595
78198339.03273082,-52.42975202,10.91124377
78616511.96873473,-52.30912369,11.03187210
79034684.90473863,-52.18149155,11.15950424
79452857.84074254,-52.05812744,11.28286835
79871030.77674645,-51.94244968,11.39854611
80289203.71275036,-51.82377055,11.51722524
80707376.64875427,-51.70407634,11.63691945
81125549.58475818,-51.59856386,11.74243193
81543722.52076209,-51.48011403,11.86088176
81961895.45676599,-51.36679186,11.97420393
82380068.39276990,-51.26281476,12.07818103
82798241.32877381,-51.14131412,12.19968167
83216414.26477772,-51.02820572,12.31279007
83634587.20078163,-50.92359164,12.41740415
84052760.13678554,-50.82732377,12.51367202
84470933.07278945,-50.72297243,12.61802336
84889106.00879335,-50.61241965,12.72857614
85307278.94479726,-50.51343816,12.82755762
85725451.88080117,-50.41326710,12.92772869
86143624.81680508,-50.31445695,13.02653884
86561797.75280899,-50.20906668,13.13192911
86979970.68881290,-50.11826203,13.22273376
87398143.62481681,-50.01972920,13.32126658
87816316.56082071,-49.91890434,13.42209144
88234489.49682462,-49.82131543,13.51968035
88652662.43282853,-49.72548992,13.61550587
89070835.36883244,-49.65386298,13.68713281
89489008.30483635,-49.54776227,13.79323352
89907181.24084026,-49.45354239,13.88745339
90325354.17684416,-49.35988843,13.97618746
90743527.11284807,-49.26622888,14.06352352
91161700.04885198,-49.17277920,14.15064971
91579872.98485589,-49.08371667,14.23338876
91998045.92085980,-49.00018326,14.31059868
92416218.85686371,-48.91102596,14.39343250
92834391.79286762,-48.81924272,14.47889226
93252564.72887151,-48.73757041,14.55424108
93670737.66487542,-48.64607529,14.63941271
94088910.60087933,-48.56831753,14.71084699
94507083.53688323,-48.47406071,14.79878033
94925256.47288714,-48.38315227,14.88336529
95343429.40889105,-48.30586068,14.95433339
95761602.34489496,-48.21227465,15.04159594
96179775.28089887,-48.13307833,15.11446877
96597948.21690278,-48.04766915,15.19355447
97016121.15290669,-47.97045246,15.26444767
97434294.08891059,-47.88316080,15.34541585
97852467.02491450,-47.79755966,15.42469351
98270639.96091841,-47.71712695,15.49880273
98688812.89692232,-47.63273700,15.57686920
99106985.83292623,-47.54345407,15.65982865
99525158.76893014,-47.46795299,15.72900624
99943331.70493405,-47.38367005,15.80696570
100361504.64093795,-47.31077334,15.87353892
100779677.57694186,-47.23315004,15.94483874
101197850.51294577,-47.15220976,16.02145869
101616023.44894968,-47.06896441,16.11307507
102034196.38495359,-46.98350943,16.20690108
102452369.32095750,-46.91313866,16.28564288
102870542.25696141,-46.83260009,16.37455249
103288715.19296531,-46.76056019,16.45496342
103706888.12896922,-46.67978058,16.54411406
104125061.06497313,-46.59367438,16.63859129
104543234.00097704,-46.52899311,16.71164360
104961406.93698095,-46.45621004,16.79279769
105379579.87298486,-46.36544201,16.89193675
105797752.80898876,-46.29338328,16.97236652
106215925.74499267,-46.20400578,17.07011505
106634098.68099658,-46.14153349,17.14095837
107052271.61700049,-46.06749573,17.22336717
107470444.55300440,-45.98933142,17.30990250
107888617.48900831,-45.91596575,17.39163921
108306790.42501222,-45.84994727,17.46602871
