# T0015-002 (E3301-SN05 with B1 RFCU) wideband noise power spectra and gain.
# Digitiser datasets=M0_L5_H_Pol_sw_spec_dump_?.csv, digitiser spectrometer output, average of 3
# REF datasets=WBG8GHz_DIG_QTP_Hpol_ND_OFF.csv, spectrum analyser output from same input. 3
# Input signal is NoiseWave model NW6G-MI with 13dB attenuation, fed through a 3dB divider to H & V inputs.
# 
# Frequency [Hz],Channel power [dBX],Gain [dB]
98688812.89692232,-52.23283937,11.09554658
99106985.83292623,-52.11985735,11.21242066
99525158.76893014,-51.99484862,11.34132145
99943331.70493405,-51.87894397,11.46111816
100361504.64093795,-51.77393117,11.57002301
100779677.57694186,-51.66213578,11.68571046
101197850.51294577,-51.55010619,11.80084171
101616023.44894968,-51.42137043,11.92767139
102034196.38495359,-51.31872431,12.02841142
102452369.32095750,-51.22943333,12.11579633
102870542.25696141,-51.11079016,12.23253342
103288715.19296531,-51.01348581,12.32793169
103706888.12896922,-50.90442301,12.43508841
104125061.06497313,-50.79534043,12.54226490
104543234.00097704,-50.69931516,12.63638409
104961406.93698095,-50.59049715,12.74329603
105379579.87298486,-50.49324645,12.83864064
105797752.80898876,-50.39249636,12.93748465
106215925.74499267,-50.29061895,13.03745598
106634098.68099658,-50.19488430,13.13128455
107052271.61700049,-50.10164888,13.22261389
107470444.55300440,-50.01288941,13.30946729
107888617.48900831,-49.90581684,13.41463377
108306790.42501222,-49.82274815,13.49579638
108724963.36101612,-49.72955009,13.58708836
109143136.29702003,-49.64538499,13.66934739
109561309.23302394,-49.54258552,13.77024077
109979482.16902784,-49.46219990,13.84872031
110397655.10503174,-49.36799680,13.94101733
110815828.04103565,-49.28135670,14.02575136
111234000.97703956,-49.19451233,14.11068964
111652173.91304347,-49.11636417,14.18693172
112070346.84904738,-49.03224541,14.26914440
112488519.78505129,-48.96029978,14.33782626
112906692.72105519,-48.87514475,14.41833021
113324865.65705910,-48.80071210,14.48811178
113743038.59306301,-48.73640152,14.54777128
114161211.52906692,-48.66424307,14.61527864
114579384.46507083,-48.58598839,14.68888224
114997557.40107474,-48.51869185,14.75152770
115415730.33707865,-48.46087765,14.80469082
115833903.27308255,-48.40582476,14.85509263
116252076.20908646,-48.34536840,14.91089791
116670249.14509037,-48.27990425,14.97171097
117088422.08109428,-48.22456175,15.02240239
117506595.01709819,-48.17934770,15.06296536
117924767.95310210,-48.13372023,15.10394175
118342940.88910601,-48.10461101,15.12839989
118761113.82510991,-48.07543666,15.15292315
119179286.76111382,-48.02764326,15.19606548
119597459.69711773,-48.01765018,15.20140747
120015632.63312164,-48.00927394,15.20513263
120433805.56912555,-47.99832867,15.21142682
120851978.50512946,-48.01324424,15.19186017
