#ZA [deg]	H @ _ MHz	V @ _ MHz	H @ _ MHz	V @ _ MHz	H @ _ MHz	V @ _ MHz	H @ _ MHz	V @ _ MHz	H @ _ MHz	V @ _ MHz
65	4.3308	4.1276	3.9206	4.0685	3.7492	4.0832	3.6005	4.0840	2.8830	3.0298	2.8576	2.6886
66	4.3469	4.1321	3.9389	4.0788	3.7761	4.0920	3.6277	4.0926	2.9096	3.0364	2.8763	2.7103
67	4.3634	4.1369	3.9575	4.0886	3.8031	4.1000	3.6555	4.1002	2.9366	3.0423	2.8950	2.7311
68	4.3801	4.1422	3.9762	4.0976	3.8301	4.1073	3.6837	4.1068	2.9638	3.0472	2.9133	2.7511
69	4.3967	4.1478	3.9947	4.1058	3.8566	4.1140	3.7118	4.1123	2.9907	3.0508	2.9309	2.7701
70	4.4131	4.1533	4.0127	4.1131	3.8827	4.1201	3.7395	4.1164	3.0169	3.0532	2.9474	2.7883
71	4.4289	4.1588	4.0301	4.1198	3.9081	4.1253	3.7663	4.1193	3.0420	3.0542	2.9626	2.8055
72	4.4440	4.1639	4.0468	4.1257	3.9325	4.1299	3.7919	4.1212	3.0656	3.0538	2.9760	2.8219
73	4.4579	4.1688	4.0628	4.1308	3.9557	4.1336	3.8161	4.1220	3.0877	3.0523	2.9877	2.8375
74	4.4705	4.1735	4.0782	4.1353	3.9772	4.1362	3.8386	4.1216	3.1083	3.0501	2.9975	2.8522
75	4.4819	4.1780	4.0929	4.1394	3.9967	4.1377	3.8593	4.1199	3.1273	3.0473	3.0054	2.8662
76	4.4924	4.1824	4.1067	4.1434	4.0140	4.1380	3.8779	4.1167	3.1446	3.0441	3.0113	2.8796
77	4.5024	4.1869	4.1194	4.1474	4.0291	4.1375	3.8943	4.1117	3.1601	3.0406	3.0151	2.8926
78	4.5126	4.1917	4.1308	4.1517	4.0425	4.1366	3.9086	4.1053	3.1740	3.0365	3.0167	2.9053
79	4.5240	4.1971	4.1420	4.1575	4.0548	4.1358	3.9215	4.0978	3.1868	3.0324	3.0163	2.9179
80	4.5402	4.2037	4.1539	4.1651	4.0692	4.1365	3.9354	4.0898	3.2007	3.0290	3.0159	2.9309
81	4.5630	4.2113	4.1735	4.1770	4.0877	4.1387	3.9552	4.0839	3.2200	3.0281	3.0182	2.9450
82	4.5931	4.2231	4.2033	4.1955	4.1121	4.1445	3.9792	4.0789	3.2461	3.0312	3.0247	2.9612
83	4.6315	4.2403	4.2439	4.2212	4.1458	4.1570	4.0103	4.0786	3.2782	3.0388	3.0364	2.9810
84	4.6777	4.2676	4.2936	4.2574	4.1892	4.1775	4.0499	4.0867	3.3180	3.0529	3.0559	3.0063
85	4.7329	4.3054	4.3536	4.3047	4.2438	4.2090	4.1002	4.1069	3.3667	3.0754	3.0842	3.0380
