# https://docs.google.com/document/d/1KuUgt05_h7IhXeArFLno2KMq7XKO943JaA1TpT7gHpA
# Entries collected from gaincal_l_5jy.csv, sources_pnt_Ku.csv, sources_all.csv, some coordinates updated from SIMBAD, INAF = Table 3 of "A First Extended Catalogue of Pointing/Focus Calibrators for the Sardinia Radio Telescope"
# ID       |  Name(s),                                        tag,   RA(J2000),     dec(J2000,)   flux polynomial,                                               unc[arcsec] source,             Gal l,  Gal b,~1400MHz flx,redshift,NED Object type     IRAS/X-ray  s-dish comment

# Numbers in comments below from <katselib.plot_scans(katdal.open(...), target_plane=True, ants=["m028"], pols=["HH"], chans=(500,4000))>

J1229+0203 | 3C 273 | PKS 1226+02,                           radec, 12:29:06.70,  +02:03:08.6,  (1410.0 8400.0 10.0465955419 -4.90623613415 0.709890678937),    mas        VLBI 2.3/8.4 GHz,   289.95,  64.36,     45 Jy,  z=0.16,  Sy 1.0; ULIRG; blazar  I; X; Gam  ok   compact core and jet of ~25"; circ pol               

# 20082021 11.7GHz: 3.2,3.4,3.2 [YES]
J1230+1223 | Vir A | Virgo A | 3C 274 | M87 | PKS 1228+12,   radec, 12:30:49.42,  +12:23:28.0,  (1408.0 10550.0 4.484 -0.603 -0.0280),                          mas        VLBI 2.3/8.4 GHz,   283.78,  74.49,    220 Jy,  v=1307,  Sy; LINER; FRI; cD     I; X       ok   < ~1'; core dominated                   

# 20082021 11.7GHz: 2.1,2.2,2.0 [YES]
J1256-0547 | 3C 279 | PKS 1253-05,                           radec, 12:56:11.17,  -05:47:21.5,  (1410.0 8400.0 -2.63293588849 2.11780853682 -0.300277548642),   mas        VLBI 2.3/8.4 GHz,   305.10,  57.06,     10 Jy,  z=0.54,  blazar                 I; X; Gam  ok   <20"; BLLAC; OVV                     

# 062020 13.1GHz: always bad?
# 23082021 11.7GHz: 0,0,0,garbage
#J1311-2216 | PKS 1308-220 | 3C283, radec gaincal, 13:11:39.3347, -22:16:41.748

# 20082021 11.7GHz: 3.5,3.5 #large elliptical - beam extended so wider scans
#J1325-4301 | Cen A | Centaurus A | PKS 1322-42 | NGC 5128,   radec, 13:25:27.62,  -43:01:08.8,  (400.0 2000.0 5.08 -0.87),                                      mas        VLBI 2.3/8.4 GHz,   309.52,  19.42,    278 Jy,  v= 547,  S0 pec; Sy2            I; X; Gam  no?  core ~ 10"; lobes ~ 9deg                   

# 082021 11.7GHz: indistinct,indistinct,0.1,0.1,indistinct [NO]
#J1330+2509 | 3C287, radec gaincal, 13:30:37.69, +25:09:10.9, (80 14900 1.0388 0.5265 -0.2145 0.0089)

# 23082021 11.7GHz: 0.3
J1331+3030 | 3C 286,                                         radec, 13:31:08.29,  +30:30:33.0,  (1408.0 43200.0 0.956 0.584 -0.1644),                           mas        VLBI 2.3/8.4 GHz,    56.52,  80.67,     15 Jy,  z=0.85,  DLAS; Sy 1.5; core-do  X          ok   <~5"; primary flux calib (no variab)               

# 082021 11.7GHz: indistinct,0,indistinct,indistinct,0.2
#J1347+1217 | PKS 1345+125, radec gaincal, 13:47:33.36, +12:17:24.238, (333. 99000. 1.4389 -0.2156 0.0345 -0.0130)

# 062020 13.1GHz: always bad?
# 23082021 11.7GHz: indistinct,indistinct,0.1,0.1,indistinct
#J155656-791403,radec, 15:56:56.26, -79:14:03.1,,CRATES

# 17082021 11.7GHz: 0.1,0.3,0.4,0.3,0.5,0.5,0.5,0.5 [NO]
